MI,ADA,LIQUOR,,BRAND NAME,PROOF,SIZE,PACK,    BASE , LICENSEE , MINIMUM , NEW/ 
,#,CODE,,,,IN ML,SIZE,    PRICE , PRICE , SHELF , CHNG 
,,,,,,,,,, PRICE ,
AMERICAN BLEND,,,,,,,,,,,
,,,,,,,,,,,
,221,17004,,JESSE JAMES AMERICA'S OUTLAW,80.0,750,6, 37.49 , 35.62 , 41.99 ,
,321,17542,,UNCLE NEAREST 1856,100.0,750,6, 53.57 , 50.88 , 59.99 ,
,321,17543,,UNCLE NEAREST 1856 SILVER,90.0,750,6, 39.28 , 37.31 , 43.99 ,
,221,16864,,XXX TENNESSEE CORN WHISKEY,100.0,750,12, 20.52 , 19.49 , 22.98 ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STRAIGHT BOURBON,,,,,,,,,,,
,,,,,,,,,,,
,221,17272,,AMADOR TEN BARRELS WINE BRRL,100.0,750,6, 111.62 , 106.02 , 125.00 ,
,321,16083,,AMERICAN BORN BOURBON WHISKEY,83.0,750,12, 17.86 , 16.95 , 19.99 , (5.00)
,321,88026,,ANCIENT AGE,80.0,750,12, 10.70 , 10.17 , 11.99 ,
,321,6656,,ANCIENT AGE PL,80.0,1750,6, 19.62 , 18.62 , 21.96 ,
,321,95520,,ANCIENT ANCIENT AGE 10 STAR,90.0,750,12, 16.95 , 16.11 , 18.99 ,
,221,8551,,ANGELS ENVY,86.6,750,6, 49.11 , 46.64 , 54.99 ,
,221,12221,,ANGELS ENVY CASK STRENGTH,119.3,750,3, 178.57 , 169.63 , 199.99 ,
MI,221,14616,,ATWATER CIRCA STRT BBN WHISKEY,100.0,750,6, 53.57 , 50.88 , 59.99 ,
,321,15710,,BACKROOM BOURBON,110.0,750,12, 35.70 , 33.92 , 39.99 ,
,321,87920,,BAKER'S BOURBON,107.0,750,6, 44.62 , 42.37 , 49.96 ,
,321,14074,,BARRELL BOURBON,122.4,750,6, 75.87 , 72.06 , 84.96 ,
MI,141,17300,,BARRIER RIDGE BOURBON,85.0,750,12, 35.70 , 33.92 , 39.99 ,
,321,10993,,BARTERHOUSE-20 YR,90.2,750,6, 71.41 , 67.85 , 79.99 ,
,321,16395,,BASIL HAYDEN'S BOURBON,80.0,375,12, 20.53 , 19.50 , 22.99 ,
,321,88780,,BASIL HAYDEN'S BOURBON,80.0,750,6, 35.70 , 33.92 , 39.99 , (5.00)
,321,17212,,BASIL HAYDEN'S BOURBON,80.0,1000,6, 50.87 , 48.31 , 56.96 ,
,321,13373,,BEANBALL BOURBON,90.0,750,6, 40.52 , 38.49 , 45.38 ,
,321,5612,,BENCHMARK NO. 8,80.0,750,12, 9.82 , 9.32 , 10.99 ,
,321,10014,,BENCHMARK NO. 8 PL,80.0,375,24, 5.36 , 5.08 , 5.99 ,
,321,5613,,BENCHMARK NO. 8 PL,80.0,1750,6, 20.53 , 19.50 , 22.99 ,
,321,10741,,BENCHMARK NO. 8 BROWN SUGAR,70.0,750,12, 9.82 , 9.32 , 10.99 ,
,321,10687,,BENCHMARK NO. 8 BROWN SUGAR PL,70.0,50,60, 0.88 , 0.85 , 1.00 ,
,321,10742,,BENCHMARK NO. 8 PEACH,70.0,750,12, 9.82 , 9.32 , 10.99 ,
,221,12032,,BERENTZEN BUSHEL & BARREL,60.0,750,6, 17.86 , 16.95 , 19.99 ,
,221,17569,,BIB & TUCKER SM BATCH BBN WHKY,92.0,750,6, 44.62 , 42.37 , 49.96 ,
,221,12420,,BIB & TUCKER SMALL BATCH BBN,92.0,750,6, 44.62 , 42.37 , 49.96 ,
,321,9384,,BIG HOUSE BOURBON,90.0,750,6, 20.53 , 19.50 , 22.99 ,
,321,15189,,BIRD DOG BOURBON-10 YR,90.0,750,6, 35.70 , 33.92 , 39.99 ,
,321,16159,,BIRD DOG KENTUCKY BOURBON,80.0,750,12, 17.86 , 16.95 , 19.99 ,
,321,17058,,BIRD DOG KENTUCKY BOURBON PL,80.0,50,60, 0.87 , 0.81 , 0.96 ,
,321,14738,,BIRD DOG SMALL BATCH BOURBON,86.0,750,6, 26.78 , 25.44 , 29.99 ,
,321,11674,,BLACK MAPLE HILL OREGON BBN,95.0,750,6, 127.72 , 121.34 , 143.05 ,
,321,12974,,BLACK SADDLE BOURBON-12 YR,90.0,750,6, 41.03 , 38.97 , 45.95 ,
,321,7864,,BLANTON BBN,93.0,375,12, 26.78 , 25.44 , 29.99 ,
,321,93730,,BLANTON BBN,93.0,750,6, 53.57 , 50.88 , 59.99 ,
,321,15674,,BLOOD OATH PACT NO. 3,98.6,750,3, 89.28 , 84.81 , 99.99 ,
,321,17554,,BLOOD OATH PACT NO.4,98.6,750,3, 89.28 , 84.81 , 99.99 ,
,321,2791,,BOOKER'S,129.2,750,6, 71.41 , 67.85 , 79.99 ,
,321,14982,,BORDER BOURBON,93.0,750,6, 46.41 , 44.10 , 51.99 ,
,321,9252,,BOWMAN BROTHERS,90.0,750,6, 26.78 , 25.44 , 29.99 ,
,221,13486,,BREAKER,90.0,750,6, 49.11 , 46.64 , 54.99 ,
,221,13487,,BREAKER PORT BARREL FINISH,90.0,750,6, 53.57 , 50.88 , 59.99 ,
,221,13488,,BREAKER WHEATED,90.0,750,6, 53.57 , 50.88 , 59.99 ,
,321,10216,,BRECKENRIDGE BOURBON WHISKEY,86.0,750,6, 37.95 , 36.06 , 42.51 ,
MI,141,18287,,BRONCO BOURBON,86.6,750,12, 35.70 , 33.92 , 39.99 , NEW 
,321,10866,,BUCK-8 YR,90.0,750,6, 28.57 , 27.13 , 31.99 ,
,321,6457,,BUFFALO TRACE BOURBON,90.0,375,12, 13.37 , 12.69 , 14.96 ,
,321,358,,BUFFALO TRACE BOURBON,90.0,750,12, 24.11 , 22.89 , 26.99 ,
,321,13668,,BUFFALO TRACE BOURBON,90.0,1000,12, 31.24 , 29.68 , 34.99 ,
,321,6493,,BUFFALO TRACE BOURBON,90.0,1750,6, 45.53 , 43.25 , 50.99 ,
,321,14952,,BUFFALO TRACE BOURBON PL,90.0,50,120, 0.83 , 0.78 , 0.92 ,
,141,17094,,BULL RUN BARREL STRENGTH,117.0,750,12, 66.95 , 63.61 , 74.99 ,
,321,15683,,BULLEIT BBN BARREL STRENGTH,119.4,375,12, 26.78 , 25.44 , 29.99 ,
,321,15684,,BULLEIT BBN BARREL STRENGTH,119.4,750,6, 44.62 , 42.37 , 49.96 ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STRAIGHT BOURBON (CONTINUED),,,,,,,,,,,
,,,,,,,,,,,
,321,11354,,BULLEIT BOURBON,90.0,50,120, 2.66 , 2.54 , 2.99 ,
